Sample,Time,de_maxiter,de_n_pop,de_strategy,f_evals_max,max_rel_dist_threshold,minimization_gtol,n_dims,n_trials,pop_thinning_factor,print_progress,seed,target_name,use_x0_insertion
1000,2023-09-11-16:18:09,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1001,2023-09-11-16:27:44,2,105,best1exp,10000000,7e-07,1e-08,7,952380,0.8,False,585999,dark_machines_2,True
1002,2023-09-11-16:27:50,2,150,best1exp,10000000,1e-06,1e-08,10,666666,0.8,False,585999,dark_machines_2,True
1003,2023-09-25-18:34:26,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1004,2023-09-25-18:43:36,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1005,2023-09-25-18:44:30,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1006,2023-09-26-02:39:49,2,570,best1exp,10000000,3.8e-06,1e-08,38,175438,0.8,False,585999,SICPOVM,True
1007,2023-09-27-09:49:29,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1008,2023-10-01-00:01:41,2,270,best1exp,10000000,1.8e-06,1e-08,18,370370,0.8,False,585999,SICPOVM,True
1009,2023-10-01-00:01:49,2,300,best1exp,10000000,2e-06,1e-08,20,333333,0.8,False,585999,SICPOVM,True
1010,2023-10-01-00:04:35,2,330,best1exp,10000000,2.2e-06,1e-08,22,303030,0.8,False,585999,SICPOVM,True
1011,2023-10-01-00:04:39,2,360,best1exp,10000000,2.4e-06,1e-08,24,277777,0.8,False,585999,SICPOVM,True
1012,2023-10-01-00:10:51,2,390,best1exp,10000000,2.5999999999999997e-06,1e-08,26,256410,0.8,False,585999,SICPOVM,True
1013,2023-10-01-00:10:57,2,420,best1exp,10000000,2.8e-06,1e-08,28,238095,0.8,False,585999,SICPOVM,True
1014,2023-10-01-00:11:01,2,450,best1exp,10000000,3e-06,1e-08,30,222222,0.8,False,585999,SICPOVM,True
1015,2023-10-01-00:17:29,2,480,best1exp,10000000,3.2e-06,1e-08,32,208333,0.8,False,585999,SICPOVM,True
1016,2023-10-01-01:11:10,2,510,best1exp,10000000,3.3999999999999996e-06,1e-08,34,196078,0.8,False,585999,SICPOVM,True
1017,2023-10-01-03:20:11,2,540,best1exp,10000000,3.6e-06,1e-08,36,185185,0.8,False,585999,SICPOVM,True
1018,2023-10-06-08:33:02,2,105,best1exp,10000000,7e-07,1e-08,7,952380,0.8,False,585999,dark_machines_2,True
1019,2023-10-06-08:33:05,2,150,best1exp,10000000,1e-06,1e-08,10,666666,0.8,False,585999,dark_machines_2,True
