Sample,Time,de_maxiter,de_n_pop,de_strategy,f_evals_max,max_rel_dist_threshold,minimization_gtol,minimization_threshold,n_dims,n_trials,pop_thinning_factor,seed,target_name,use_minimizer,use_pop_thinning,use_x0_insertion
1000,2023-11-10-12:52:08,2,420,best1exp,50000000,2.8e-06,1e-10,1e-12,28,238095,0.8,585997,SICPOVM,True,True,True
1001,2023-11-10-12:52:08,2,420,best1exp,50000000,2.8e-06,1e-10,1e-12,28,238095,0.8,585997,SICPOVM,True,False,True
1002,2023-11-10-12:52:08,2,420,best1exp,50000000,2.8e-06,1e-10,1e-12,28,238095,0.8,585997,SICPOVM,False,True,True
1003,2023-11-10-15:02:48,2,270,best1exp,50000000,1.8e-06,1e-10,1e-12,18,370370,0.8,585997,SICPOVM,True,True,True
1004,2023-11-10-15:02:48,2,270,best1exp,50000000,1.8e-06,1e-10,1e-12,18,370370,0.8,585997,SICPOVM,True,False,True
1005,2023-11-10-15:02:48,2,270,best1exp,50000000,1.8e-06,1e-10,1e-12,18,370370,0.8,585997,SICPOVM,False,True,True
1006,2023-11-10-15:58:58,2,570,best1exp,50000000,3.8e-06,1e-10,1e-12,38,175438,0.8,585997,SICPOVM,True,True,True
1007,2023-11-10-15:58:58,2,570,best1exp,50000000,3.8e-06,1e-10,1e-12,38,175438,0.8,585997,SICPOVM,True,False,True
1008,2023-11-10-15:58:58,2,570,best1exp,50000000,3.8e-06,1e-10,1e-12,38,175438,0.8,585997,SICPOVM,False,True,True
1009,2023-11-10-15:58:58,2,600,best1exp,50000000,4e-06,1e-10,1e-12,40,166666,0.8,585997,SICPOVM,True,True,True
1010,2023-11-10-15:58:58,2,600,best1exp,50000000,4e-06,1e-10,1e-12,40,166666,0.8,585997,SICPOVM,True,False,True
1011,2023-11-10-15:58:58,2,600,best1exp,50000000,4e-06,1e-10,1e-12,40,166666,0.8,585997,SICPOVM,False,True,True
1012,2023-11-10-15:58:58,2,630,best1exp,50000000,4.2e-06,1e-10,1e-12,42,158730,0.8,585997,SICPOVM,True,True,True
1013,2023-11-10-15:58:58,2,630,best1exp,50000000,4.2e-06,1e-10,1e-12,42,158730,0.8,585997,SICPOVM,True,False,True
1014,2023-11-10-15:58:58,2,630,best1exp,50000000,4.2e-06,1e-10,1e-12,42,158730,0.8,585997,SICPOVM,False,True,True
1015,2023-11-10-15:58:58,2,660,best1exp,50000000,4.4e-06,1e-10,1e-12,44,151515,0.8,585997,SICPOVM,True,True,True
1016,2023-11-10-15:58:58,2,660,best1exp,50000000,4.4e-06,1e-10,1e-12,44,151515,0.8,585997,SICPOVM,True,False,True
1017,2023-11-10-15:58:58,2,660,best1exp,50000000,4.4e-06,1e-10,1e-12,44,151515,0.8,585997,SICPOVM,False,True,True
1018,2023-11-10-15:58:58,2,690,best1exp,50000000,4.6e-06,1e-10,1e-12,46,144927,0.8,585997,SICPOVM,True,True,True
1019,2023-11-10-15:58:58,2,690,best1exp,50000000,4.6e-06,1e-10,1e-12,46,144927,0.8,585997,SICPOVM,True,False,True
1020,2023-11-10-15:58:58,2,690,best1exp,50000000,4.6e-06,1e-10,1e-12,46,144927,0.8,585997,SICPOVM,False,True,True
1021,2023-11-10-15:58:58,2,720,best1exp,50000000,4.8e-06,1e-10,1e-12,48,138888,0.8,585997,SICPOVM,True,True,True
