INFO:random-gd-1045:trial      0 / 100_000  |  f_evals         441 / 50_000_000  |  f_min 4.147615e-02
INFO:random-gd-1045:trial      1 / 100_000  |  f_evals       1_071 / 50_000_000  |  f_min 6.440538e-03
INFO:random-gd-1045:trial      2 / 100_000  |  f_evals       1_869 / 50_000_000  |  f_min 6.440538e-03
INFO:random-gd-1045:trial      3 / 100_000  |  f_evals       5_817 / 50_000_000  |  f_min 5.582624e-03
INFO:random-gd-1045:trial      4 / 100_000  |  f_evals       6_510 / 50_000_000  |  f_min 9.889264e-10
INFO:random-gd-1045:trial      5 / 100_000  |  f_evals       7_560 / 50_000_000  |  f_min 5.269628e-10
INFO:random-gd-1045:trial      6 / 100_000  |  f_evals       8_253 / 50_000_000  |  f_min 3.042663e-10
INFO:random-gd-1045:trial      7 / 100_000  |  f_evals       9_135 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial      8 / 100_000  |  f_evals      12_663 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial      9 / 100_000  |  f_evals      14_154 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial     10 / 100_000  |  f_evals      15_687 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial     11 / 100_000  |  f_evals      16_947 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial     12 / 100_000  |  f_evals      17_430 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial     13 / 100_000  |  f_evals      18_459 / 50_000_000  |  f_min 4.047060e-11
INFO:random-gd-1045:trial     14 / 100_000  |  f_evals      18_795 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     15 / 100_000  |  f_evals      19_677 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     16 / 100_000  |  f_evals      20_118 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     17 / 100_000  |  f_evals      21_231 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     18 / 100_000  |  f_evals      21_903 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     19 / 100_000  |  f_evals      22_659 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     20 / 100_000  |  f_evals      25_221 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     21 / 100_000  |  f_evals      26_019 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     22 / 100_000  |  f_evals      26_460 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     23 / 100_000  |  f_evals      27_069 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     24 / 100_000  |  f_evals      27_510 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     25 / 100_000  |  f_evals      28_476 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     26 / 100_000  |  f_evals      28_917 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     27 / 100_000  |  f_evals      29_358 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     28 / 100_000  |  f_evals      30_471 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     29 / 100_000  |  f_evals      31_143 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     30 / 100_000  |  f_evals      31_584 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     31 / 100_000  |  f_evals      32_256 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     32 / 100_000  |  f_evals      32_697 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     33 / 100_000  |  f_evals      33_285 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     34 / 100_000  |  f_evals      33_936 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     35 / 100_000  |  f_evals      35_847 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     36 / 100_000  |  f_evals      36_288 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     37 / 100_000  |  f_evals      37_107 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     38 / 100_000  |  f_evals      38_976 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     39 / 100_000  |  f_evals      39_417 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     40 / 100_000  |  f_evals      39_858 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     41 / 100_000  |  f_evals      40_299 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     42 / 100_000  |  f_evals      44_100 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     43 / 100_000  |  f_evals      44_583 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     44 / 100_000  |  f_evals      59_598 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     45 / 100_000  |  f_evals      60_900 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     46 / 100_000  |  f_evals      62_265 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     47 / 100_000  |  f_evals      66_402 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     48 / 100_000  |  f_evals      72_618 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     49 / 100_000  |  f_evals      79_233 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     50 / 100_000  |  f_evals      82_740 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     51 / 100_000  |  f_evals      83_307 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     52 / 100_000  |  f_evals      86_352 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     53 / 100_000  |  f_evals      86_877 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     54 / 100_000  |  f_evals      87_318 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     55 / 100_000  |  f_evals      89_901 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     56 / 100_000  |  f_evals      90_342 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     57 / 100_000  |  f_evals      91_140 / 50_000_000  |  f_min 1.644584e-11
INFO:random-gd-1045:trial     58 / 100_000  |  f_evals      91_917 / 50_000_000  |  f_min 9.254014e-12
INFO:random-gd-1045:Converged due to current_f_min close to 0.0.
INFO:random-gd-1045:Elapsed time: 1.943 seconds
