INFO:random-gd-1054:trial      0 / 100_000  |  f_evals       6_210 / 50_000_000  |  f_min 5.301448e-03
INFO:random-gd-1054:trial      1 / 100_000  |  f_evals       6_777 / 50_000_000  |  f_min 5.301448e-03
INFO:random-gd-1054:trial      2 / 100_000  |  f_evals      11_367 / 50_000_000  |  f_min 5.301448e-03
INFO:random-gd-1054:trial      3 / 100_000  |  f_evals      22_113 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      4 / 100_000  |  f_evals      30_537 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      5 / 100_000  |  f_evals      31_104 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      6 / 100_000  |  f_evals      31_671 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      7 / 100_000  |  f_evals      35_883 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      8 / 100_000  |  f_evals      40_446 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial      9 / 100_000  |  f_evals      41_445 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     10 / 100_000  |  f_evals      44_469 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     11 / 100_000  |  f_evals      49_491 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     12 / 100_000  |  f_evals      50_058 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     13 / 100_000  |  f_evals      50_625 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     14 / 100_000  |  f_evals      53_109 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     15 / 100_000  |  f_evals      53_676 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     16 / 100_000  |  f_evals      54_243 / 50_000_000  |  f_min 1.990954e-09
INFO:random-gd-1054:trial     17 / 100_000  |  f_evals      55_809 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     18 / 100_000  |  f_evals      56_889 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     19 / 100_000  |  f_evals      57_456 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     20 / 100_000  |  f_evals      58_401 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     21 / 100_000  |  f_evals      60_318 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     22 / 100_000  |  f_evals      61_641 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     23 / 100_000  |  f_evals      63_207 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     24 / 100_000  |  f_evals      65_097 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     25 / 100_000  |  f_evals      67_446 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     26 / 100_000  |  f_evals      68_013 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     27 / 100_000  |  f_evals      69_795 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     28 / 100_000  |  f_evals      70_875 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     29 / 100_000  |  f_evals      72_279 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     30 / 100_000  |  f_evals      72_846 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     31 / 100_000  |  f_evals      73_413 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     32 / 100_000  |  f_evals      74_574 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     33 / 100_000  |  f_evals      75_141 / 50_000_000  |  f_min 1.119834e-09
INFO:random-gd-1054:trial     34 / 100_000  |  f_evals      76_275 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     35 / 100_000  |  f_evals      76_842 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     36 / 100_000  |  f_evals      78_300 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     37 / 100_000  |  f_evals      78_867 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     38 / 100_000  |  f_evals      83_052 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     39 / 100_000  |  f_evals      91_368 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     40 / 100_000  |  f_evals      93_123 / 50_000_000  |  f_min 6.321137e-10
INFO:random-gd-1054:trial     41 / 100_000  |  f_evals      94_338 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     42 / 100_000  |  f_evals     108_000 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     43 / 100_000  |  f_evals     109_593 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     44 / 100_000  |  f_evals     110_592 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     45 / 100_000  |  f_evals     112_158 / 50_000_000  |  f_min 3.720826e-11
