         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      808    0.001    0.000    0.009    0.000 <__array_function__ internals>:177(all)
      390    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(amax)
      386    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(amin)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
      440    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(around)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(atleast_1d)
      272    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(broadcast_arrays)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(clip)
      274    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(column_stack)
     1614    0.002    0.000    0.009    0.000 <__array_function__ internals>:177(concatenate)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(cumsum)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diff)
      510    0.001    0.000    0.004    0.000 <__array_function__ internals>:177(dot)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(extract)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(inv)
      384    0.000    0.000    0.024    0.000 <__array_function__ internals>:177(isclose)
       40    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ptp)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ravel_multi_index)
      329    0.000    0.000    0.005    0.000 <__array_function__ internals>:177(reshape)
      384    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(result_type)
      440    0.000    0.000    0.005    0.000 <__array_function__ internals>:177(round_)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sort)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(take)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unravel_index)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(where)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    140/6    0.001    0.000    0.187    0.031 <frozen importlib._bootstrap>:1022(_find_and_load)
        3    0.000    0.000    0.183    0.061 <frozen importlib._bootstrap>:1038(_gcd_import)
  291/118    0.001    0.000    0.170    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      146    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      146    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    172/6    0.000    0.000    0.183    0.031 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     1131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      256    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      267    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      132    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  132/130    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
    132/6    0.001    0.000    0.186    0.031 <frozen importlib._bootstrap>:664(_load_unlocked)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      553    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      553    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      137    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
    140/6    0.001    0.000    0.187    0.031 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      124    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
      8/6    0.000    0.000    0.065    0.011 <frozen importlib._bootstrap_external>:1174(create_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
     1079    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1079    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      248    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      137    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      537    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      137    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
